Date,Open,High,Low,Close,Adj Close,Volume,Currency
29-11-18,122.72155,123.229721,115.297691,117.542648,117.542648,2196099151,Ethereum
30-11-18,117.728096,119.423767,111.744965,113.171417,113.171417,2020748396,Ethereum
01-12-18,113.397758,120.841454,111.619125,118.635559,118.635559,2131475768,Ethereum
02-12-18,118.26815,120.56205,116.092041,116.388901,116.388901,1856199149,Ethereum
03-12-18,116.378761,116.619064,107.415657,108.925018,108.925018,1772756193,Ethereum
04-12-18,108.803162,113.142914,107.402718,110.214188,110.214188,1748116495,Ethereum
05-12-18,110.335518,110.59861,102.475555,102.475555,102.475555,1990157607,Ethereum
06-12-18,102.450592,104.103493,91.761055,91.761055,91.761055,2310716932,Ethereum
07-12-18,91.649834,96.089844,83.469719,93.294563,93.294563,2554304530,Ethereum
08-12-18,93.41008,97.059883,86.825668,92.159637,92.159637,1855759401,Ethereum
09-12-18,92.035431,98.900032,91.031281,95.142059,95.142059,1875567180,Ethereum
10-12-18,94.992172,96.257301,90.654251,91.685654,91.685654,1756437577,Ethereum
11-12-18,91.578934,92.782326,87.688408,88.945305,88.945305,1707497898,Ethereum
12-12-18,88.610703,92.240555,88.263557,90.5933,90.5933,1533050103,Ethereum
13-12-18,90.655228,91.111603,85.518311,86.539314,86.539314,1754475622,Ethereum
14-12-18,86.630356,87.144943,83.226479,84.308296,84.308296,1651491877,Ethereum
15-12-18,84.279694,85.342743,82.829887,84.440811,84.440811,1496176898,Ethereum
16-12-18,84.469406,87.568123,84.469406,85.2621,85.2621,1565817037,Ethereum
17-12-18,85.382111,96.805054,85.382111,95.133827,95.133827,2101453024,Ethereum
18-12-18,95.10804,101.320236,92.968521,101.112457,101.112457,2277514076,Ethereum
19-12-18,101.683846,108.549057,100.69146,101.268578,101.268578,2456482115,Ethereum
20-12-18,101.090439,117.170128,100.639961,116.216873,116.216873,3063842618,Ethereum
21-12-18,115.835403,119.094162,107.584793,109.496231,109.496231,2632539990,Ethereum
22-12-18,109.45594,116.759499,107.503166,116.759499,116.759499,2338772939,Ethereum
23-12-18,117.273895,133.075302,117.273895,130.765259,130.765259,3579715061,Ethereum
24-12-18,130.641663,157.668701,130.641663,140.238007,140.238007,4370343387,Ethereum
25-12-18,140.997589,140.997589,125.113289,129.844345,129.844345,3298280609,Ethereum
26-12-18,129.888824,136.677246,126.292908,131.865631,131.865631,2720469126,Ethereum
27-12-18,131.923584,132.677063,115.650101,116.575912,116.575912,2612804378,Ethereum
28-12-18,116.898201,137.647018,115.69313,137.647018,137.647018,3130201009,Ethereum
29-12-18,138.468781,147.034332,134.570175,138.018341,138.018341,3169029972,Ethereum
30-12-18,137.627457,140.689087,133.98233,139.859451,139.859451,2660086834,Ethereum
31-12-18,140.031067,140.181152,132.519394,133.368256,133.368256,2358360234,Ethereum
01-01-19,133.418152,141.397507,132.650711,140.819412,140.819412,2258709868,Ethereum
02-01-19,141.519516,156.929138,140.650955,155.047684,155.047684,3328240369,Ethereum
03-01-19,155.196045,155.863052,147.198364,149.13501,149.13501,2676164880,Ethereum
04-01-19,148.912888,156.878983,147.907104,154.58194,154.58194,3126192535,Ethereum
05-01-19,154.337418,160.82489,154.337418,155.638596,155.638596,3338211928,Ethereum
06-01-19,155.80423,159.371445,152.085922,157.746201,157.746201,3231294371,Ethereum
07-01-19,157.809494,158.450424,151.150726,151.699219,151.699219,2712108388,Ethereum
08-01-19,151.967545,153.625778,148.66954,150.359634,150.359634,2459808140,Ethereum
09-01-19,150.554688,153.622253,150.288376,150.803116,150.803116,2369241197,Ethereum
10-01-19,150.843506,152.14827,126.529373,128.625183,128.625183,3397734456,Ethereum
11-01-19,127.813965,130.165939,125.244942,127.548325,127.548325,2667585234,Ethereum
12-01-19,127.528084,128.666122,125.446754,125.96653,125.96653,2212109224,Ethereum
13-01-19,125.907227,126.267876,116.085968,116.897804,116.897804,2268263944,Ethereum
14-01-19,116.979095,130.856735,116.96756,129.068726,129.068726,2798085735,Ethereum
15-01-19,129.172684,130.743561,120.311523,122.032715,122.032715,2735449164,Ethereum
16-01-19,121.809242,127.118248,121.441414,123.547066,123.547066,2746469340,Ethereum
17-01-19,123.57354,124.270721,120.817032,123.74192,123.74192,2594091285,Ethereum
18-01-19,123.654655,123.84169,120.241898,121.010262,121.010262,2305389800,Ethereum
19-01-19,121.614426,125.904228,121.161034,124.51902,124.51902,3048261797,Ethereum
20-01-19,124.632401,125.070389,118.702324,119.474831,119.474831,2964108269,Ethereum
21-01-19,119.636459,119.715439,116.15744,117.157852,117.157852,2421720343,Ethereum
22-01-19,117.110756,119.664345,114.676682,118.747551,118.747551,2552507405,Ethereum
23-01-19,118.713814,119.422798,116.376648,117.452606,117.452606,2556952198,Ethereum
24-01-19,117.462784,118.032104,116.006798,117.362885,117.362885,2520843420,Ethereum
25-01-19,117.594955,117.802994,115.830154,116.378342,116.378342,2606881898,Ethereum
26-01-19,116.373528,118.084114,115.980576,116.488739,116.488739,2412181169,Ethereum
27-01-19,116.510315,116.68541,113.405289,113.405289,113.405289,2775888287,Ethereum
28-01-19,113.285233,113.688232,103.336464,106.589973,106.589973,3366895505,Ethereum
29-01-19,106.721954,107.165787,103.999229,105.598213,105.598213,2900418606,Ethereum
30-01-19,105.407204,109.45298,104.843796,108.907539,108.907539,2874370355,Ethereum
31-01-19,108.900772,110.458359,106.525352,107.061012,107.061012,2828796031,Ethereum
01-02-19,107.147682,108.63871,105.046501,107.609787,107.609787,2541271519,Ethereum
02-02-19,107.466415,110.653877,106.764015,110.43026,110.43026,2385157838,Ethereum
03-02-19,110.490318,110.827354,106.563988,107.492668,107.492668,2519334757,Ethereum
04-02-19,107.625824,108.701035,107.067421,107.821602,107.821602,2491888675,Ethereum
05-02-19,107.628166,108.134789,106.909897,107.44352,107.44352,2515863999,Ethereum
06-02-19,107.569305,107.569305,102.934563,104.919289,104.919289,2593048199,Ethereum
07-02-19,104.835777,106.058876,104.409134,104.535301,104.535301,2326764622,Ethereum
08-02-19,104.64505,119.805817,104.194435,119.267746,119.267746,3656841347,Ethereum
09-02-19,119.214111,120.689735,118.000404,119.430885,119.430885,2884650400,Ethereum
10-02-19,119.408966,124.853622,117.105774,124.806488,124.806488,3148766590,Ethereum
11-02-19,124.871536,124.871536,120.311752,121.298393,121.298393,3222473887,Ethereum
12-02-19,121.178574,123.4683,119.600021,122.572289,122.572289,3149576429,Ethereum
13-02-19,122.544289,125.550697,121.612495,122.553604,122.553604,3386585799,Ethereum
14-02-19,122.416985,124.451988,121.334892,121.390205,121.390205,3331701628,Ethereum
15-02-19,121.453697,123.660126,121.371918,122.100388,122.100388,3021741615,Ethereum
16-02-19,122.396454,124.134811,122.295303,123.260216,123.260216,2905833287,Ethereum
17-02-19,123.182083,134.460098,123.091614,133.598877,133.598877,4236081130,Ethereum
18-02-19,133.032547,147.686584,133.001938,146.098373,146.098373,5387525773,Ethereum
19-02-19,146.398819,149.929977,145.128464,145.346191,145.346191,5310842625,Ethereum
20-02-19,145.172729,149.554337,142.502121,149.554337,149.554337,4500094965,Ethereum
21-02-19,149.352325,149.352325,144.563812,146.130844,146.130844,3995766856,Ethereum
22-02-19,146.073257,149.268616,145.206543,149.092453,149.092453,3731099284,Ethereum
23-02-19,148.67662,159.12587,147.331055,158.795425,158.795425,4519468458,Ethereum
24-02-19,158.902405,165.549622,135.852661,135.852661,135.852661,5957715043,Ethereum
25-02-19,135.499725,142.525574,135.483841,139.822861,139.822861,4914392068,Ethereum
26-02-19,139.646088,139.97644,136.579605,138.089676,138.089676,3791292839,Ethereum
27-02-19,138.029572,141.336227,131.602921,136.125961,136.125961,4469776860,Ethereum
28-02-19,136.283081,138.847137,135.657593,136.746246,136.746246,4535438953,Ethereum
